name,iterations,real_time,cpu_time,time_unit,bytes_per_second,items_per_second,label,error_occurred,error_message
"BENCH_ABSEIL_STRCAT/3",17092915,40.2925,40.252,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,39.9406,39.9225,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,40.9639,40.7825,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,41.7861,41.5665,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,40.5428,40.468,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,41.4578,41.3423,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,41.3921,41.2604,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,44.0217,43.7841,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,40.7221,40.6287,ns,,,,,
"BENCH_ABSEIL_STRCAT/3",17092915,40.4387,40.3447,ns,,,,,
"BENCH_ABSEIL_STRCAT/3_mean",10,41.1558,41.0352,ns,,,,,
"BENCH_ABSEIL_STRCAT/3_median",10,40.843,40.7056,ns,,,,,
"BENCH_ABSEIL_STRCAT/3_stddev",10,1.15925,1.09864,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,37.691,37.6863,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,37.6535,37.6471,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,37.5847,37.5846,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,38.3431,38.2714,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,39.0159,38.8499,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,38.1405,38.0896,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,38.633,38.6324,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,38.6928,38.6929,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,38.3102,38.3098,ns,,,,,
"BENCH_ABSEIL_STRCAT/2",18371488,37.7579,37.7564,ns,,,,,
"BENCH_ABSEIL_STRCAT/2_mean",10,38.1823,38.152,ns,,,,,
"BENCH_ABSEIL_STRCAT/2_median",10,38.2254,38.1805,ns,,,,,
"BENCH_ABSEIL_STRCAT/2_stddev",10,0.501204,0.471848,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,41.8837,41.8832,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,42.5168,42.5162,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,40.9573,40.9574,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,42.1784,42.178,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,42.265,42.2645,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,41.0247,41.0248,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,40.8933,40.8931,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,40.9536,40.9532,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,40.8522,40.8522,ns,,,,,
"BENCH_ABSEIL_STRCAT/1",16729647,41.5726,41.5722,ns,,,,,
"BENCH_ABSEIL_STRCAT/1_mean",10,41.5098,41.5095,ns,,,,,
"BENCH_ABSEIL_STRCAT/1_median",10,41.2986,41.2985,ns,,,,,
"BENCH_ABSEIL_STRCAT/1_stddev",10,0.65299,0.652795,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.2012,37.2013,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.3738,37.3736,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.0219,37.0203,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.1775,37.1776,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.2468,37.2465,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,36.8782,36.8778,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,37.0019,37.002,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,39.874,39.8624,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,38.0976,38.0969,ns,,,,,
"BENCH_ABSEIL_APPEND/3",18821373,38.187,38.1857,ns,,,,,
"BENCH_ABSEIL_APPEND/3_mean",10,37.606,37.6044,ns,,,,,
"BENCH_ABSEIL_APPEND/3_median",10,37.224,37.2239,ns,,,,,
"BENCH_ABSEIL_APPEND/3_stddev",10,0.912241,0.909041,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,36.7796,36.7792,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,36.9991,36.9992,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,40.1583,40.158,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,37.085,37.0846,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,37.7895,37.7881,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,39.4741,39.4742,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,38.7679,38.7676,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,39.4481,39.4467,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,36.8306,36.8307,ns,,,,,
"BENCH_ABSEIL_APPEND/2",18607208,37.806,37.8057,ns,,,,,
"BENCH_ABSEIL_APPEND/2_mean",10,38.1138,38.1134,ns,,,,,
"BENCH_ABSEIL_APPEND/2_median",10,37.7978,37.7969,ns,,,,,
"BENCH_ABSEIL_APPEND/2_stddev",10,1.25459,1.25449,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,43.0093,43.0094,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,41.9231,41.9218,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,40.1933,40.193,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,40.2307,40.2308,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,39.7654,39.7649,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,39.6248,39.6246,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,42.1474,42.1459,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,40.1366,40.1367,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,40.3102,40.31,ns,,,,,
"BENCH_ABSEIL_APPEND/1",17386952,41.0111,41.0094,ns,,,,,
"BENCH_ABSEIL_APPEND/1_mean",10,40.8352,40.8347,ns,,,,,
"BENCH_ABSEIL_APPEND/1_median",10,40.2705,40.2704,ns,,,,,
"BENCH_ABSEIL_APPEND/1_stddev",10,1.14571,1.14544,ns,,,,,
"BENCH_STL_PLUS/3",9764426,71.0798,71.0799,ns,,,,,
"BENCH_STL_PLUS/3",9764426,76.3521,76.3515,ns,,,,,
"BENCH_STL_PLUS/3",9764426,71.4672,71.4644,ns,,,,,
"BENCH_STL_PLUS/3",9764426,71.9942,71.9911,ns,,,,,
"BENCH_STL_PLUS/3",9764426,71.0556,71.0557,ns,,,,,
"BENCH_STL_PLUS/3",9764426,69.6729,69.6723,ns,,,,,
"BENCH_STL_PLUS/3",9764426,72.7707,72.7676,ns,,,,,
"BENCH_STL_PLUS/3",9764426,71.6139,71.6141,ns,,,,,
"BENCH_STL_PLUS/3",9764426,70.2277,70.2272,ns,,,,,
"BENCH_STL_PLUS/3",9764426,69.1867,69.1861,ns,,,,,
"BENCH_STL_PLUS/3_mean",10,71.5421,71.541,ns,,,,,
"BENCH_STL_PLUS/3_median",10,71.2735,71.2721,ns,,,,,
"BENCH_STL_PLUS/3_stddev",10,2.00222,2.00195,ns,,,,,
"BENCH_STL_PLUS/2",10033419,70.0977,70.0948,ns,,,,,
"BENCH_STL_PLUS/2",10033419,70.7617,70.7616,ns,,,,,
"BENCH_STL_PLUS/2",10033419,71.8289,71.8046,ns,,,,,
"BENCH_STL_PLUS/2",10033419,73.4961,73.4954,ns,,,,,
"BENCH_STL_PLUS/2",10033419,72.7202,72.7198,ns,,,,,
"BENCH_STL_PLUS/2",10033419,76.7564,76.7561,ns,,,,,
"BENCH_STL_PLUS/2",10033419,75.724,75.722,ns,,,,,
"BENCH_STL_PLUS/2",10033419,70.8144,70.8146,ns,,,,,
"BENCH_STL_PLUS/2",10033419,74.2088,74.209,ns,,,,,
"BENCH_STL_PLUS/2",10033419,72.0298,72.0299,ns,,,,,
"BENCH_STL_PLUS/2_mean",10,72.8438,72.8408,ns,,,,,
"BENCH_STL_PLUS/2_median",10,72.375,72.3748,ns,,,,,
"BENCH_STL_PLUS/2_stddev",10,2.20089,2.20219,ns,,,,,
"BENCH_STL_PLUS/1",9550741,73.525,73.5251,ns,,,,,
"BENCH_STL_PLUS/1",9550741,74.3484,74.348,ns,,,,,
"BENCH_STL_PLUS/1",9550741,73.4934,73.4935,ns,,,,,
"BENCH_STL_PLUS/1",9550741,76.8076,76.7969,ns,,,,,
"BENCH_STL_PLUS/1",9550741,75.1449,75.1451,ns,,,,,
"BENCH_STL_PLUS/1",9550741,77.003,77.0027,ns,,,,,
"BENCH_STL_PLUS/1",9550741,80.5959,80.596,ns,,,,,
"BENCH_STL_PLUS/1",9550741,75.4398,75.4392,ns,,,,,
"BENCH_STL_PLUS/1",9550741,74.9803,74.9805,ns,,,,,
"BENCH_STL_PLUS/1",9550741,75.2389,75.2391,ns,,,,,
"BENCH_STL_PLUS/1_mean",10,75.6577,75.6566,ns,,,,,
"BENCH_STL_PLUS/1_median",10,75.1919,75.1921,ns,,,,,
"BENCH_STL_PLUS/1_stddev",10,2.09257,2.09192,ns,,,,,
"BENCH_STL_APPEND/3",8915803,78.9295,78.9297,ns,,,,,
"BENCH_STL_APPEND/3",8915803,82.4112,82.4114,ns,,,,,
"BENCH_STL_APPEND/3",8915803,83.7336,83.7334,ns,,,,,
"BENCH_STL_APPEND/3",8915803,81.0702,81.0704,ns,,,,,
"BENCH_STL_APPEND/3",8915803,88.641,88.6412,ns,,,,,
"BENCH_STL_APPEND/3",8915803,81.8115,81.8116,ns,,,,,
"BENCH_STL_APPEND/3",8915803,88.774,88.7742,ns,,,,,
"BENCH_STL_APPEND/3",8915803,91.2299,91.2301,ns,,,,,
"BENCH_STL_APPEND/3",8915803,84.402,84.4018,ns,,,,,
"BENCH_STL_APPEND/3",8915803,89.002,89.0022,ns,,,,,
"BENCH_STL_APPEND/3_mean",10,85.0005,85.0006,ns,,,,,
"BENCH_STL_APPEND/3_median",10,84.0678,84.0676,ns,,,,,
"BENCH_STL_APPEND/3_stddev",10,4.12918,4.12921,ns,,,,,
"BENCH_STL_APPEND/2",6737561,89.4893,89.4895,ns,,,,,
"BENCH_STL_APPEND/2",6737561,81.1672,81.1674,ns,,,,,
"BENCH_STL_APPEND/2",6737561,81.1224,81.1226,ns,,,,,
"BENCH_STL_APPEND/2",6737561,86.4576,86.4578,ns,,,,,
"BENCH_STL_APPEND/2",6737561,84.9714,84.9712,ns,,,,,
"BENCH_STL_APPEND/2",6737561,90.4489,90.4516,ns,,,,,
"BENCH_STL_APPEND/2",6737561,88.7376,88.7378,ns,,,,,
"BENCH_STL_APPEND/2",6737561,84.5588,84.559,ns,,,,,
"BENCH_STL_APPEND/2",6737561,81.7048,81.705,ns,,,,,
"BENCH_STL_APPEND/2",6737561,85.8798,85.88,ns,,,,,
"BENCH_STL_APPEND/2_mean",10,85.4538,85.4542,ns,,,,,
"BENCH_STL_APPEND/2_median",10,85.4256,85.4256,ns,,,,,
"BENCH_STL_APPEND/2_stddev",10,3.4227,3.42311,ns,,,,,
"BENCH_STL_APPEND/1",8258653,89.2479,89.247,ns,,,,,
"BENCH_STL_APPEND/1",8258653,88.4227,88.4202,ns,,,,,
"BENCH_STL_APPEND/1",8258653,85.5458,85.546,ns,,,,,
"BENCH_STL_APPEND/1",8258653,88.5219,88.5221,ns,,,,,
"BENCH_STL_APPEND/1",8258653,89.5282,89.5285,ns,,,,,
"BENCH_STL_APPEND/1",8258653,90.5393,90.5396,ns,,,,,
"BENCH_STL_APPEND/1",8258653,88.9857,88.9854,ns,,,,,
"BENCH_STL_APPEND/1",8258653,86.9917,86.9919,ns,,,,,
"BENCH_STL_APPEND/1",8258653,89.4477,89.4479,ns,,,,,
"BENCH_STL_APPEND/1",8258653,85.6217,85.6219,ns,,,,,
"BENCH_STL_APPEND/1_mean",10,88.2853,88.285,ns,,,,,
"BENCH_STL_APPEND/1_median",10,88.7538,88.7537,ns,,,,,
"BENCH_STL_APPEND/1_stddev",10,1.69122,1.6911,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,35.1705,35.1705,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,34.7818,34.7815,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.9109,33.911,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.3731,33.3732,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.3962,33.3963,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.3815,33.3815,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.7025,33.7025,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.8067,33.8066,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,34.1619,34.162,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3",19448402,33.979,33.9791,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3_mean",10,33.9664,33.9664,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3_median",10,33.8588,33.8588,ns,,,,,
"BENCH_STL_APPEND_RESERVE/3_stddev",10,0.602823,0.602777,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.4186,33.4187,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.5996,33.5997,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.5114,33.5113,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.3199,33.32,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.3236,33.3236,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.2649,33.265,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.1903,33.1904,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.3416,33.3416,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.282,33.2819,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2",20613147,33.1682,33.1683,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2_mean",10,33.342,33.342,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2_median",10,33.3217,33.3218,ns,,,,,
"BENCH_STL_APPEND_RESERVE/2_stddev",10,0.135204,0.135194,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.1387,37.1387,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.0301,37.0302,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.4252,37.4253,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.0965,37.0953,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,36.952,36.9521,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.7863,37.7864,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.1665,37.1666,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,37.2319,37.232,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,36.692,36.6921,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1",18720625,36.3703,36.3701,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1_mean",10,37.0889,37.0889,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1_median",10,37.1176,37.117,ns,,,,,
"BENCH_STL_APPEND_RESERVE/1_stddev",10,0.383647,0.383692,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,369.296,369.296,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,351.999,351.999,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,347.49,347.49,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,338.458,338.459,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,335.604,335.594,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,336.945,336.946,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,348.786,348.786,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,349.387,349.388,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,339.078,339.079,ns,,,,,
"BENCH_STL_OSTREAM/3",2063941,346.676,346.677,ns,,,,,
"BENCH_STL_OSTREAM/3_mean",10,346.372,346.371,ns,,,,,
"BENCH_STL_OSTREAM/3_median",10,347.083,347.084,ns,,,,,
"BENCH_STL_OSTREAM/3_stddev",10,9.96705,9.96826,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,334.477,334.476,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,347.869,347.869,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,337.141,337.13,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,335.154,335.155,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,342.673,342.674,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,338.584,338.583,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,338.327,338.328,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,335.115,335.116,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,340.321,340.322,ns,,,,,
"BENCH_STL_OSTREAM/2",2038639,344.713,344.714,ns,,,,,
"BENCH_STL_OSTREAM/2_mean",10,339.437,339.437,ns,,,,,
"BENCH_STL_OSTREAM/2_median",10,338.456,338.456,ns,,,,,
"BENCH_STL_OSTREAM/2_stddev",10,4.46009,4.46115,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,345.758,345.754,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,349.737,349.735,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,379.398,379.399,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,353.116,353.117,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,343.842,343.843,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,335.554,335.554,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,334.761,334.76,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,335.773,335.774,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,340.22,340.221,ns,,,,,
"BENCH_STL_OSTREAM/1",2022273,340.784,340.784,ns,,,,,
"BENCH_STL_OSTREAM/1_mean",10,345.894,345.894,ns,,,,,
"BENCH_STL_OSTREAM/1_median",10,342.313,342.314,ns,,,,,
"BENCH_STL_OSTREAM/1_stddev",10,13.2719,13.272,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,419.214,419.215,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,419.008,419.007,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,419.225,419.226,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,424.69,424.691,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,423.611,423.612,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,419.516,419.517,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,420.851,420.852,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,424.1,424.099,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,417.942,417.943,ns,,,,,
"BENCH_STL_SSTREAM/3",1662498,418.062,418.063,ns,,,,,
"BENCH_STL_SSTREAM/3_mean",10,420.622,420.622,ns,,,,,
"BENCH_STL_SSTREAM/3_median",10,419.371,419.372,ns,,,,,
"BENCH_STL_SSTREAM/3_stddev",10,2.56314,2.56301,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,418.432,418.433,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,417.98,417.981,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,417.515,417.514,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,419.257,419.258,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,423.318,423.319,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,418.212,418.213,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,417.166,417.167,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,421.017,421.017,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,418.745,418.746,ns,,,,,
"BENCH_STL_SSTREAM/2",1668126,422.452,422.453,ns,,,,,
"BENCH_STL_SSTREAM/2_mean",10,419.41,419.41,ns,,,,,
"BENCH_STL_SSTREAM/2_median",10,418.589,418.589,ns,,,,,
"BENCH_STL_SSTREAM/2_stddev",10,2.12491,2.125,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,425.186,425.187,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,423.123,423.121,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,422.626,422.622,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,421.335,421.336,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,424.366,424.367,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,431.377,431.378,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,422.081,422.081,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,421.567,421.567,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,422.294,422.293,ns,,,,,
"BENCH_STL_SSTREAM/1",1672465,420.844,420.844,ns,,,,,
"BENCH_STL_SSTREAM/1_mean",10,423.48,423.48,ns,,,,,
"BENCH_STL_SSTREAM/1_median",10,422.46,422.458,ns,,,,,
"BENCH_STL_SSTREAM/1_stddev",10,3.08221,3.0825,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,65.5374,65.5375,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,65.955,65.9551,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,65.8843,65.8844,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,65.9833,65.9834,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,65.961,65.9609,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,66.2795,66.2796,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,70.147,70.1472,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,66.9956,66.9957,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,67.9989,67.999,ns,,,,,
"BENCH_FOLLY_PLUS/3",10636760,71.9566,71.9564,ns,,,,,
"BENCH_FOLLY_PLUS/3_mean",10,67.2699,67.2699,ns,,,,,
"BENCH_FOLLY_PLUS/3_median",10,66.1314,66.1315,ns,,,,,
"BENCH_FOLLY_PLUS/3_stddev",10,2.15637,2.15632,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,79.4776,79.4757,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,78.819,78.8192,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,77.3354,77.3374,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,78.0352,78.0353,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,77.1234,77.1236,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,99.6799,99.6698,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,95.278,95.0629,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,98.8815,98.6671,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,94.7124,94.5154,ns,,,,,
"BENCH_FOLLY_PLUS/2",8218595,93.3679,93.1877,ns,,,,,
"BENCH_FOLLY_PLUS/2_mean",10,87.271,87.1894,ns,,,,,
"BENCH_FOLLY_PLUS/2_median",10,86.4227,86.3317,ns,,,,,
"BENCH_FOLLY_PLUS/2_stddev",10,9.80139,9.72329,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,66.7987,66.6517,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,68.2015,68.0836,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,67.0257,67.0258,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,68.2236,68.2237,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,66.0847,66.0848,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,63.5132,63.5134,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,66.6833,66.6812,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,65.0122,65.0124,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,64.8422,64.8423,ns,,,,,
"BENCH_FOLLY_PLUS/1",10270616,65.9206,65.9207,ns,,,,,
"BENCH_FOLLY_PLUS/1_mean",10,66.2306,66.204,ns,,,,,
"BENCH_FOLLY_PLUS/1_median",10,66.384,66.3683,ns,,,,,
"BENCH_FOLLY_PLUS/1_stddev",10,1.4881,1.4653,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,85.7933,85.7935,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,81.7498,81.7499,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,82.0473,82.0471,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,87.1043,87.1024,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,85.8208,85.8209,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,84.7486,84.7488,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,86.6972,86.6974,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,87.7442,87.7417,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,83.1525,83.1527,ns,,,,,
"BENCH_FOLLY_APPEND/3",8150750,82.0147,82.0143,ns,,,,,
"BENCH_FOLLY_APPEND/3_mean",10,84.6873,84.6869,ns,,,,,
"BENCH_FOLLY_APPEND/3_median",10,85.271,85.2711,ns,,,,,
"BENCH_FOLLY_APPEND/3_stddev",10,2.28122,2.28069,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,93.2737,93.2706,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,92.0229,92.0226,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,91.8548,91.855,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,91.173,91.1712,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,91.2699,91.2701,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,119.763,119.763,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,122.933,122.933,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,125.948,125.95,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,126.508,126.508,ns,,,,,
"BENCH_FOLLY_APPEND/2",7467357,121.688,121.688,ns,,,,,
"BENCH_FOLLY_APPEND/2_mean",10,107.643,107.643,ns,,,,,
"BENCH_FOLLY_APPEND/2_median",10,106.518,106.517,ns,,,,,
"BENCH_FOLLY_APPEND/2_stddev",10,16.6932,16.694,ns,,,,,
"BENCH_FOLLY_APPEND/1",6439821,127.496,127.489,ns,,,,,
"BENCH_FOLLY_APPEND/1",6439821,116.066,116.063,ns,,,,,
"BENCH_FOLLY_APPEND/1",6439821,114.257,114.257,ns,,,,,
"BENCH_FOLLY_APPEND/1",6439821,106.726,106.726,ns,,,,,
"BENCH_FOLLY_APPEND/1",6439821,109.134,109.135,ns,,,,,
